Product ID,Product Name,Chinese Name,Image Link,Video Link,Price (RM),Category
"B207","108 FEET 8 COLOUR  108  Copyright Item","","https://media.bmfireworks.com/bearboom/images/cmf0tbnjs001ki904n40unv3a.png","https://media.bmfireworks.com/bearboom/videos/cmf0tbnjs001ki904n40unv3a.mp4","268","firecracker"
"B001","8 FEET - 500 BIJI (SUPER LOUD) (BOM)  - 500-","","https://media.bmfireworks.com/bearboom/images/cm4131kr800145kbkij9vdted.png","https://media.bmfireworks.com/bearboom/videos/cm4131kr800145kbkij9vdted.mp4","8","firecracker"
"B002","8 FEET 1.0 SUPER RED 1.0","","https://media.bmfireworks.com/bearboom/images/cm4131kyk00285kbkutnmfuna.png","https://media.bmfireworks.com/bearboom/videos/cm4131kyk00285kbkutnmfuna.mp4","18","firecracker"
"B003","8 FEET 1.0 SUPER ROSE 1.0","","https://media.bmfireworks.com/bearboom/images/cm4131lnx006k5kbkne7zs3rn.png","https://media.bmfireworks.com/bearboom/videos/cm4131lnx006k5kbkne7zs3rn.mp4","18","firecracker"
"B007","8 FEET 1.0 SUPER GOLD 1.0","","https://media.bmfireworks.com/bearboom/images/cm4131le2004w5kbk8q5tdx9w.png","https://media.bmfireworks.com/bearboom/videos/cm4131le2004w5kbk8q5tdx9w.mp4","20","firecracker"
"B081","12 FEET 1.2 SUPER GOLD  (1.2)","","https://media.bmfireworks.com/bearboom/images/cm4131kpv000w5kbkcbopersl.png","https://media.bmfireworks.com/bearboom/videos/cm4131kpv000w5kbkcbopersl.mp4","40","firecracker"
"B005","18 FEET 1.2 SUPER RED  18   (1.2)","","https://media.bmfireworks.com/bearboom/images/cm4131l09002k5kbkxldl1xys.png","https://media.bmfireworks.com/bearboom/videos/cm4131l09002k5kbkxldl1xys.mp4","45","firecracker"
"B004","18 FEET 1.2 SUPER ROSE 18  (1.2)","","https://media.bmfireworks.com/bearboom/images/cm4131kqk00105kbkdaaazj0c.png","https://media.bmfireworks.com/bearboom/videos/cm4131kqk00105kbkdaaazj0c.mp4","45","firecracker"
"B201","18 FEET 1.2 SUPER GOLD  18   (1.2)","","https://media.bmfireworks.com/bearboom/images/cm4131kpo000u5kbkhzylfk5i.png","https://media.bmfireworks.com/bearboom/videos/cm4131kpo000u5kbkhzylfk5i.mp4","50","firecracker"
"B082","28 FEET SUPER GOLD (GIFT BOX)   28","","https://media.bmfireworks.com/bearboom/images/cm4131l4w003e5kbkp0ebud2b.png","https://media.bmfireworks.com/bearboom/videos/cm4131l4w003e5kbkp0ebud2b.mp4","108","firecracker"
